net,length_um
stage8_inst.in6\[1\],168.72
_04800_,168.68
net167,168.4
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.add_inst.a\[24\],168.22
_04492_,168.17
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.acc_low\[24\],168.13
_02412_,168.1
_09532_,167.885
_04275_,167.54
net187,167.34
net327,167.27
_10614_,167.115
net200,167.08
net143,167
_02375_,166.94
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[1\],166.46
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.add_inst.b\[27\],166.3
net193,166.16
_04881_,165.96
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.phase\[5\],165.82
_07708_,165.78
_02402_,165.26
_07961_,165.24
_10176_,165.2
_07969_,165.1
_08907_,164.85
net212,164.82
net319,164.75
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.a\[10\],164.5
_10720_,164.34
net136,164.3
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.add_inst.b\[30\],164.16
_00022_,163.84
net259,163.76
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.acc_low\[25\],163.755
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.carry_reg,163.51
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.add_inst.a\[16\],163.44
_10499_,163.42
_06303_,163.32
_06495_,163.28
net386,162.84
_10273_,162.46
_10611_,162.46
net265,162.35
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.mul_inst.acc_low\[4\],162.16
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.add_inst.b\[31\],162.06
_10861_,161.73
_06312_,161.72
net162,161.65
_07712_,161.46
_10609_,161.34
_10982_,160.9
_02305_,160.6
stage8_inst.stage4_upper.stage2_pair1.butterfly_inst.add_inst.b\[22\],160.5
net454,160.39
_02831_,160.38
stage8_inst.in2\[27\],160.28
net414,160.27
net161,160.14
_08405_,159.86
net205,159.76
_10085_,159.7
_10367_,159.68
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.mul_inst.acc_low\[1\],159.59
net216,159.59
stage8_inst.out5\[21\],159.46
stage8_inst.stage4_lower.stage2_pair1.butterfly_inst.add_inst.b\[24\],159.44
net114,159.38
_07658_,159.12
net369,159
stage8_inst.stage4_upper.stage2_pair0.butterfly_inst.mul_inst.acc_low\[0\],158.91
_05031_,158.815
stage8_inst.stage4_lower.stage2_pair0.butterfly_inst.add_inst.b\[25\],158.64
_05441_,158.58
